Rank,Name,M or F
1,Tom Hanks,M
2,Jack Nicholson,M
3,Marlon Brando,M
4,Bette Davis,F
5,Robert De Niro,M
6,James Stewart,M
7,Anthony Hopkins,M
8,Dustin Hoffman,M
9,Katharine Hepburn,F
10,Morgan Freeman,M
11,Audrey Hepburn,F
12,Humphrey Bogart,M
13,Al Pacino,M
14,Cary Grant,M
15,Meryl Streep,F
16,Gregory Peck,M
17,Charlie Chaplin,M
18,Paul Newman,M
19,Clint Eastwood,M
20,Laurence Olivier,M
21,Ingrid Bergman,F
22,Gene Hackman,M
23,Leonardo DiCaprio,M
24,Michael Caine,M
25,Robert Duvall,M
26,Johnny Depp,M
27,Jodie Foster,F
28,Denzel Washington,M
29,Henry Fonda,M
30,Kevin Spacey,M
31,Gary Oldman,M
32,Sean Connery,M
33,Liam Neeson,M
34,Christopher Walken,M
35,Robin Williams,M
36,Tommy Lee Jones,M
37,Harrison Ford,M
38,Daniel Day-Lewis,M
39,Edward Norton,M
40,Judi Dench,F
41,Christian Bale,M
42,Cate Blanchett,F
43,Helen Mirren,F
44,Robert Downey Jr.,M
45,Brad Pitt,M
46,Matt Damon,M
47,Kate Winslet,F
48,Russell Crowe,M
49,Samuel L. Jackson,M
50,Sidney Poitier,M
51,Heath Ledger,M
52,Alan Rickman,M
53,Jack Lemmon,M
54,Philip Seymour Hoffman,M
55,Maggie Smith,F
56,Elizabeth Taylor,F
57,Robert Redford,M
58,Bill Murray,M
59,Sally Field,F
60,Emma Thompson,F
61,Spencer Tracy,M
62,Ben Kingsley,M
63,Ralph Fiennes,M
64,Kathy Bates,F
65,Sandra Bullock,F
66,Hugh Jackman,M
67,Julie Andrews,F
68,Steve Buscemi,M
69,Ian McKellen,M
70,Susan Sarandon,F
71,Mel Gibson,M
72,Kirk Douglas,M
73,James Earl Jones,M
74,Julia Roberts,F
75,Bruce Willis,M
76,Jeff Bridges,M
77,Glenn Close,F
78,Clark Gable,M
79,Vivien Leigh,F
80,Peter O'Toole,M
81,Alec Guinness,M
82,John Wayne,M
83,Ed Harris,M
84,Patrick Stewart,M
85,John Malkovich,M
86,Christopher Lee,M
87,Willem Dafoe,M
88,Donald Sutherland,M
89,Michael Douglas,M
90,Nicole Kidman,F
91,Will Smith,M
92,Judy Garland,F
93,Gene Wilder,M
94,Ewan McGregor,M
95,Sigourney Weaver,F
96,Sean Penn,M
97,Forest Whitaker,M
98,Michael Keaton,M
99,Lauren Bacall,F
100,Charlize Theron,F
101,,